timestamp_utc,engine,symbol,reason,score,metrics
2026-05-06T20:00:14.888650+00:00,orderflow,ICPUSDT,early_score_too_low,2.3,early_score=2.3 | support_dist_bps=102.68 | imbalance=0.053 | bid_persistence=0.0 | support_holds=0 | compression_ratio=0.61
2026-05-06T20:00:15.288176+00:00,orderflow,DASHUSDT,trade_notional_too_low,,tape_total=2441.75 | min=30000.0
2026-05-06T20:00:27.716015+00:00,orderflow,BTCUSDT,early_score_too_low,3.5,early_score=3.5 | support_dist_bps=37.24 | imbalance=0.021 | bid_persistence=0.0 | support_holds=0 | compression_ratio=0.34
2026-05-06T20:00:28.157669+00:00,orderflow,ETHUSDT,reward_to_r1_too_low,4.3,early_score=4.3 | support_dist_bps=31.12 | imbalance=-0.372 | bid_persistence=0.0 | support_holds=6 | compression_ratio=0.614 | reward_to_r1=0.21 | resistance_1=2348.0 | resistance_2=2358.7202864 | tp1_buffer_bps=12.0 | tp2_buffer_bps=18.0
2026-05-06T20:00:28.585212+00:00,orderflow,SOLUSDT,early_score_too_low,1.8,early_score=1.8 | support_dist_bps=43.34 | imbalance=-0.181 | bid_persistence=0.0 | support_holds=2 | compression_ratio=0.643
2026-05-06T20:00:29.027839+00:00,orderflow,TONUSDT,trade_notional_too_low,,tape_total=25982.06 | min=30000.0
2026-05-06T20:00:29.441614+00:00,orderflow,ZECUSDT,reward_to_r1_too_low,4.3,early_score=4.3 | support_dist_bps=122.19 | imbalance=0.148 | bid_persistence=0.0 | support_holds=0 | compression_ratio=0.407 | reward_to_r1=0.063 | resistance_1=557.22 | resistance_2=564.57 | tp1_buffer_bps=12.0 | tp2_buffer_bps=18.0
2026-05-06T20:00:29.860701+00:00,orderflow,LABUSDT,early_score_too_low,2.3,early_score=2.3 | support_dist_bps=322.53 | imbalance=-0.027 | bid_persistence=0.0 | support_holds=0 | compression_ratio=0.456
2026-05-06T20:00:30.266082+00:00,orderflow,XRPUSDT,trade_notional_too_low,,tape_total=2089.54 | min=30000.0
2026-05-06T20:00:30.655697+00:00,orderflow,DOGEUSDT,trade_notional_too_low,,tape_total=2183.12 | min=30000.0
2026-05-06T20:00:31.045088+00:00,orderflow,HYPEUSDT,trade_notional_too_low,,tape_total=3463.24 | min=30000.0
2026-05-06T20:00:31.447991+00:00,orderflow,WIFUSDT,trade_notional_too_low,,tape_total=9318.86 | min=30000.0
2026-05-06T20:00:31.841897+00:00,orderflow,TAOUSDT,early_score_too_low,1.5,early_score=1.5 | support_dist_bps=93.67 | imbalance=0.273 | bid_persistence=0.0 | support_holds=0 | compression_ratio=0.73
2026-05-06T20:00:32.244321+00:00,orderflow,FARTCOINUSDT,trade_notional_too_low,,tape_total=2000.46 | min=30000.0
2026-05-06T20:00:32.619126+00:00,orderflow,ADAUSDT,trade_notional_too_low,,tape_total=2285.65 | min=30000.0
2026-05-06T20:00:33.017408+00:00,orderflow,NEARUSDT,trade_notional_too_low,,tape_total=21160.99 | min=30000.0
2026-05-06T20:00:33.446688+00:00,orderflow,SUIUSDT,trade_notional_too_low,,tape_total=942.73 | min=30000.0
2026-05-06T20:00:33.968285+00:00,orderflow,CLUSDT,trade_notional_too_low,,tape_total=228.34 | min=30000.0
